study_words,test,refernce,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
board,,,,0,0,0,4,,,,,0.0451511,,0.0114686,0.0451511,0.0451511,2.8508016,1.03,2.813165,,,,,,,,,,,,,,,842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
Chart,,,,0,1,1,6,,,,,2.8735371,,2.8515,2.8735371,2.8735371,3.4995613,1.03,0.6219141,,,,,,,,,,,,,,,842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
Pastry,,,,0,2,2,9,,,,,3.5214037,,3.4999326,3.5214037,3.5214037,4.1158937,1.03,0.5924626,,,,,,,,,,,,,,,842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
cushion,,,,0,3,3,1,,,,,4.1367131,,4.1161913,4.1367131,4.1367131,4.6333442,1.03,0.4922189,,,,,,,,,,,,,,,842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
book,,,,0,4,4,0,,,,,4.6521147,,4.6337746,4.6521147,4.6521147,5.1660843,1.03,0.5091993,,,,,,,,,,,,,,,842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
T-shirt,,,,0,5,5,7,,,,,5.1880189,,5.1664793,5.1880189,5.1880189,5.7008673,1.03,0.5076578,,,,,,,,,,,,,,,842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
mouse,,,,0,6,6,8,,,,,5.7211477,,5.7011893,5.7211477,5.7211477,6.3006923,1.03,0.5789285,,,,,,,,,,,,,,,842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
marble,,,,0,7,7,3,,,,,6.3196102,,6.3010751,6.3196102,6.3196102,6.8671019,1.03,0.5423941,,,,,,,,,,,,,,,842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
phone,,,,0,8,8,2,,,,,6.8915925,,6.8675501,6.8915925,6.8915925,7.332337,1.03,0.4383565,,,,,,,,,,,,,,,842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
Laptop,,,,0,9,9,5,,,,,7.3535815,,7.3326466,7.3535815,7.3535815,7.9325582,1.03,0.5744775,,,,,,,,,,,,,,,842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
,t-_hir_,T-shirt,old,"t-shirt
",,,,0,0,0,7,7.9532622,,,,,,,,7.9399338,7.9532622,7.9532622,7.9532622,0.0117216,14.1814427,"t-shirt
","[-0.4925, -0.011666666666666667]","[-0.28833333333333333, -0.2916666666666667]","[1, 1]","[0, 0]","[0, 0]","[0.30251820012927055, 6.236101100221276]",['text_3'],842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
,c_a_t,Chart,old,chart,,,,0,1,1,6,14.1980228,,,,,,,,14.183032,14.1980228,14.1980228,14.1980228,0.0041897,21.2982052,chart,[-0.011666666666666667],[-0.2916666666666667],[1],[0],[0],[7.110228600213304],['text_3'],842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
,p_on_,phone,old,phone,,,,0,2,2,2,21.3147493,,,,,,,,21.2993364,21.3147493,21.3147493,21.3147493,0.0043805,25.7834773,phone,[-0.011666666666666667],[-0.2916666666666667],[1],[0],[0],[4.478627099888399],['text_3'],842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
,_oo_,book,old,hook,,,,0,3,3,0,25.79991,,,,,,,,25.784552,25.79991,25.79991,25.79991,0.0046637,30.1147555,hook,[-0.011666666666666667],[-0.2916666666666667],[1],[0],[0],[4.324673800030723],['text_3'],842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
,k_ys,Keys,new,keys,,,,0,4,4,13,30.1314668,,,,,,,,30.115966,30.1314668,30.1314668,30.1314668,0.0044685,33.7145579,keys,[-0.011666666666666667],[-0.2916666666666667],[1],[0],[0],[3.5934133999980986],['text_3'],842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
,_as_r_,Pastry,old,,,,,0,5,5,9,33.7326082,,,,,,,,33.7157904,33.7326082,33.7326082,33.7326082,0.0054143,43.7299434,,[],[],[],[],[],[],[],842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
,b_ar_,board,old,board,,,,0,6,6,4,43.7463304,,,,,,,,43.7308081,43.7463304,43.7463304,43.7463304,0.0193096,49.5652897,board,[0.0025],[-0.30583333333333335],[1],[0],[0],[5.829754099948332],['text_3'],842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
