study_words,test,refernce,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,t-_hir_,T-shirt,old,,,,,0,1,1,7,22.5335146,,,,,,,,22.5182026,22.5335146,22.5335146,22.5335146,0.0042846,30.9005038,t-shirt,[-0.0775],[-0.275],[1],[0],[0],[8.377253800164908],['text_3'],618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
,po_s_r,Poster,new,,,,,0,2,2,14,30.9190673,,,,,,,,30.9016216,30.9190673,30.9190673,30.9190673,0.0044531,35.3323744,posser,[-0.0775],[-0.275],[1],[0],[0],[4.425658399937674],['text_3'],618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
,_o_ic_,Police,new,,,,,0,3,3,12,35.3521897,,,,,,,,35.3335086,35.3521897,35.3521897,35.3521897,0.0051243,41.0184996,police,[-0.0775],[-0.275],[1],[0],[0],[5.678765699965879],['text_3'],618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
,c_s_,Case,new,,,,,0,4,4,10,41.038331,,,,,,,,41.019598,41.038331,41.038331,41.038331,0.0042495,46.3505839,cast,[-0.0775],[-0.275],[1],[0],[0],[5.325743000023067],['text_3'],618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
,_ar__e,marble,old,,,,,0,5,5,3,46.3696041,,,,,,,,46.3517523,46.3696041,46.3696041,46.3696041,0.0073582,50.5831863,marble,[-0.0775],[-0.275],[1],[0],[0],[4.223301900085062],['text_3'],618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
,_oo_,book,old,,,,,0,6,6,0,50.5995206,,,,,,,,50.5843238,50.5995206,50.5995206,50.5995206,0.0042649,54.7180423,book,[-0.0775],[-0.275],[1],[0],[0],[4.12847389979288],['text_3'],618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
,_a_t_p,Laptop,old,,,,,0,7,7,5,54.7346324,,,,,,,,54.7194724,54.7346324,54.7346324,54.7346324,0.0049223,61.1333455,laptop,[-0.0775],[-0.275],[1],[0],[0],[6.4083358000498265],['text_3'],618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
,m_u_e,mouse,old,,,,,0,8,8,8,61.1497163,,,,,,,,61.1345673,61.1497163,61.1497163,61.1497163,0.0050861,66.1360478,mouse,[-0.0775],[-0.275],[1],[0],[0],[4.995434300042689],['text_3'],618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
,c_a_t,Chart,old,,,,,0,9,9,6,66.1586779,,,,,,,,66.1370299,66.1586779,66.1586779,66.1586779,0.0056736,70.7351807,chart,[-0.0775],[-0.275],[1],[0],[0],[4.591779500013217],['text_3'],618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
,p_on_,phone,old,,,,,0,10,10,2,70.7588784,,,,,,,,70.7362384,70.7588784,70.7588784,70.7588784,0.0092455,76.7028277,phony,[-0.0775],[-0.275],[1],[0],[0],[5.956064200028777],['text_3'],618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
,b_ar_,board,old,,,,,0,11,11,4,76.7211267,,,,,,,,76.7038934,76.7211267,76.7211267,76.7211267,0.0054147,80.6002723,board,[-0.0775],[-0.275],[1],[0],[0],[3.890227399999276],['text_3'],618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
,_as_r_,Pastry,old,,,,,0,12,12,9,80.6242669,,,,,,,,80.6014448,80.6242669,80.6242669,80.6242669,0.0060812,84.500849,pastry,[-0.0775],[-0.275],[1],[0],[0],[3.8923412000294775],['text_3'],618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
,k_ys,Keys,new,,,,,0,13,13,13,84.5224622,,,,,,,,84.5016942,84.5224622,84.5224622,84.5224622,0.0075985,87.7684985,keys,[-0.0775],[-0.275],[1],[0],[0],[3.2583264999557287],['text_3'],618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
,cr_i_e,Cruise,new,,,,,0,14,14,11,87.7893663,,,,,,,,87.7693946,87.7893663,87.7893663,87.7893663,0.008235,92.3844285,cruise,[-0.0775],[-0.275],[1],[0],[0],[4.605941100046039],['text_3'],618112,1,2024-10-25_17h49.51.239,word primming,2024.1.5,None,2024-10-25 17h50.00.449154 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,old,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,new,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,primming score,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
