study_words,test,refernce,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
Pastry,,,,0,0,0,9,,,,,0.0640759,,0.0160315,0.0640759,0.0640759,2.9807935,1,2.9320367,,,,,,,,,,,,,,,430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
cushion,,,,0,1,1,1,,,,,3.008085,,2.9853122,3.008085,3.008085,3.663047,1,0.6516572,,,,,,,,,,,,,,,430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
T-shirt,,,,0,2,2,7,,,,,3.6856321,,3.6633686,3.6856321,3.6856321,4.313471,1,0.6247467,,,,,,,,,,,,,,,430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
Laptop,,,,0,3,3,5,,,,,4.3352514,,4.3138858,4.3352514,4.3352514,4.9812354,1,0.6419154,,,,,,,,,,,,,,,430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
marble,,,,0,4,4,3,,,,,5.0026689,,4.9816389,5.0026689,5.0026689,5.6304301,1,0.6226607,,,,,,,,,,,,,,,430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
board,,,,0,5,5,4,,,,,5.6507958,,5.6307936,5.6507958,5.6507958,6.2801646,1,0.6251873,,,,,,,,,,,,,,,430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
Chart,,,,0,6,6,6,,,,,6.2984793,,6.2805506,6.2984793,6.2984793,6.9478493,1,0.6443082,,,,,,,,,,,,,,,430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
book,,,,0,7,7,0,,,,,6.9660365,,6.9482397,6.9660365,6.9660365,7.6300898,1,0.6596179,,,,,,,,,,,,,,,430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
mouse,,,,0,8,8,8,,,,,7.6483038,,7.6304759,7.6483038,7.6483038,8.3135004,1,0.6610444,,,,,,,,,,,,,,,430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
phone,,,,0,9,9,2,,,,,8.3327096,,8.3138855,8.3327096,8.3327096,8.9637462,1,0.6264448,,,,,,,,,,,,,,,430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
,c_sh_o_,cushion,old,,,,,0,0,0,1,8.9857792,,,,,,,,8.9714637,8.9857792,8.9857792,8.9857792,0.012653,16.029451,cushion,[-0.02666666666666667],[-0.31333333333333335],[1],[0],[0],[7.051949599990621],['text_3'],430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
,p_on_,phone,old,,,,,0,1,1,2,16.0463015,,,,,,,,16.0307313,16.0463015,16.0463015,16.0463015,0.0039173,24.1288423,phone,[-0.02666666666666667],[-0.31333333333333335],[1],[0],[0],[8.093381299870089],['text_3'],430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
,po_s_r,Poster,new,,,,,0,2,2,14,24.1455947,,,,,,,,24.1299797,24.1455947,24.1455947,24.1455947,0.0041394,27.1282196,poster,[-0.02666666666666667],[-0.31333333333333335],[1],[0],[0],[2.9932402002159506],['text_3'],430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
,c_a_t,Chart,old,,,,,0,3,3,6,27.1449453,,,,,,,,27.1292305,27.1449453,27.1449453,27.1449453,0.0044498,32.9120956,chart,[-0.02666666666666667],[-0.31333333333333335],[1],[0],[0],[5.7775593001861125],['text_3'],430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
,t-_hir_,T-shirt,old,,,,,0,4,4,7,32.9320444,,,,,,,,32.9131588,32.9320444,32.9320444,32.9320444,0.0042613,38.3635399,t-shirt,[-0.02666666666666667],[-0.31333333333333335],[1],[0],[0],[5.445410199929029],['text_3'],430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
,_ar__e,marble,old,,,,,0,5,5,3,38.3841403,,,,,,,,38.3649313,38.3841403,38.3841403,38.3841403,0.0043888,48.3771032,,[],[],[],[],[],[],[],430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
,_a_t_p,Laptop,old,,,,,0,6,6,5,48.3977815,,,,,,,,48.3782324,48.3977815,48.3977815,48.3977815,0.019044,53.4130835,laptop,[-0.02666666666666667],[-0.31333333333333335],[1],[0],[0],[5.027689300011843],['text_3'],430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
,b_ar_,board,old,,,,,0,7,7,4,53.4303078,,,,,,,,53.4142657,53.4303078,53.4303078,53.4303078,0.0052438,58.5635424,board,[-0.02666666666666667],[-0.31333333333333335],[1],[0],[0],[5.143274999922141],['text_3'],430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
,m_u_e,mouse,old,,,,,0,8,8,8,58.580041,,,,,,,,58.5647192,58.580041,58.580041,58.580041,0.0040985,65.6124996,mouse,[-0.02666666666666667],[-0.31333333333333335],[1],[0],[0],[7.042980500031263],['text_3'],430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
